Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
787	"JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES"	1525-4135	"Not Available"	4.556	4.531	0.039300
7872	"CANADIAN ENTOMOLOGIST"	0008-347X	"Not Available"	0.837	0.853	0.001140
7872	"CUAJ-Canadian Urological Association Journal"	1911-6470	696	0.837	1.179	0.002650
7872	"INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS"	1076-9307	332	0.837	0.821	0.000560
7872	"JOURNAL OF THEORETICAL POLITICS"	0951-6298	514	0.837	0.771	0.001600
7872	"Japanese Journal of Radiology"	1867-1071	525	0.837	0.881	0.002570
7872	"Journal of the Korean Astronomical Society"	1225-4614	172	0.837	0.972	0.000650
7878	"ACTA PROTOZOOLOGICA"	0065-1583	601	0.836	1.013	0.000730
7878	"FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES"	1536-383X	543	0.836	0.853	0.001010
7878	"LARYNGO-RHINO-OTOLOGIE"	0935-8943	768	0.836	0.625	0.000490
7878	"MICROELECTRONICS JOURNAL"	0026-2692	"Not Available"	0.836	0.923	0.003250
7878	"SPECTROSCOPY-AN INTERNATIONAL JOURNAL"	0712-4813	424	0.836	0.686	0.000710
7878	"WIENER KLINISCHE WOCHENSCHRIFT"	0043-5325	"Not Available"	0.836	0.793	0.002440
7884	"CARDIOLOGY IN THE YOUNG"	1047-9511	"Not Available"	0.835	0.976	0.003810
7884	"COMMUNICATIONS IN CONTEMPORARY MATHEMATICS"	0219-1997	538	0.835	0.803	0.003040
7884	"INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY"	0019-5189	"Not Available"	0.835	1.147	0.002480
7884	"PUBLIC CHOICE"	0048-5829	"Not Available"	0.835	1.218	0.008250
7884	"Progress in Transplantation"	1526-9248	523	0.835	0.969	0.001300
7889	"Journal of Huazhong University of Science and Technology-Medical Sciences"	1672-0733	953	0.834	0.749	0.002110
7889	"Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy"	0102-695X	"Not Available"	0.834	0.807	0.002140
789	"JOURNAL OF PEASANT STUDIES"	0306-6150	"Not Available"	4.553	5.213	0.006100
7891	"ACTA SCIENTIARUM-AGRONOMY"	1807-8621	517	0.833	0.717	0.001530
7891	"ANALES DE PEDIATRIA"	1695-4033	750	0.833	0.755	0.001450
7891	"BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND"	0367-5211	158	0.833	0.842	0.000180
7891	"COMMUNICATION MONOGRAPHS"	0363-7751	"Not Available"	0.833	4.254	0.003970
7891	"Children & Society"	0951-0605	535	0.833	1.047	0.001250
7891	"Human Resource Development Quarterly"	1044-8004	579	0.833	1.637	0.000730
7891	"INTERNATIONAL ANGIOLOGY"	0392-9590	"Not Available"	0.833	0.992	0.001780
7891	"JOURNAL OF DOCUMENTATION"	0022-0418	"Not Available"	0.833	1.019	0.000800
7891	"JOURNAL OF ENGLISH LINGUISTICS"	0075-4242	152	0.833	0.983	0.000730
7891	"JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER"	0887-8722	"Not Available"	0.833	0.953	0.002070
7891	"Journal of Integrative Agriculture"	2095-3119	512	0.833	0.850	0.001360
7891	"Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie"	1434-5293	574	0.833	1.017	0.000830
7891	"Medical Education Online"	1087-2981	216	0.833	"Not Available"	0.000840
7891	"Nursing Philosophy"	1466-7681	336	0.833	1.107	0.000610
7891	"Optometry-Journal of the American Optometric Association"	1529-1839	440	0.833	0.852	0.000970
7891	"PHARMACEUTICAL STATISTICS"	1539-1604	587	0.833	1.361	0.002750
7891	"PHILOSOPHY OF SCIENCE"	0031-8248	"Not Available"	0.833	0.828	0.001750
7891	"PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA"	0097-3157	"Not Available"	0.833	0.820	0.000260
7891	"PUBLIC HEALTH NURSING"	0737-1209	"Not Available"	0.833	0.932	0.001410
7891	"Water Policy"	1366-7017	799	0.833	0.888	0.001550
79	"Advanced Energy Materials"	1614-6832	"Not Available"	16.146	16.581	0.037510
790	"AMERICAN JOURNAL OF PUBLIC HEALTH"	0090-0036	"Not Available"	4.552	5.101	0.057670
7914	"Central European Journal of Operations Research"	1435-246X	304	0.832	0.933	0.001020
7914	"JOURNAL OF HERPETOLOGY"	0022-1511	"Not Available"	0.832	1.020	0.002330
7914	"Journal of Mining and Metallurgy Section B-Metallurgy"	1450-5339	195	0.832	0.863	0.000610
7914	"SERVICE INDUSTRIES JOURNAL"	0264-2069	"Not Available"	0.832	0.983	0.002250
7918	"AUSTRALIAN MAMMALOGY"	0310-0049	338	0.831	"Not Available"	0.000400
7918	"CORROSION ENGINEERING SCIENCE AND TECHNOLOGY"	1478-422X	505	0.831	0.798	0.001260
7918	"Cognitive Systems Research"	1389-0417	408	0.831	1.311	0.001170
7918	"JOURNAL OF PRAGMATICS"	0378-2166	"Not Available"	0.831	0.997	0.006150
7918	"Top"	1134-5764	314	0.831	0.943	0.001200
7918	"ZOO BIOLOGY"	0733-3188	"Not Available"	0.831	1.092	0.001420
792	"Journal of Cheminformatics"	1758-2946	852	4.547	4.935	0.003600
7925	"ECONOMIC DEVELOPMENT QUARTERLY"	0891-2424	555	0.830	1.045	0.000810
7925	"INFORMATION AND COMPUTATION"	0890-5401	"Not Available"	0.830	0.801	0.003470
7925	"MATERIALS RESEARCH INNOVATIONS"	1432-8917	963	0.830	0.620	0.001140
7925	"Mathematical Modelling and Analysis"	1392-6292	261	0.830	0.717	0.000820
7925	"NETWORKS"	0028-3045	"Not Available"	0.830	1.141	0.003770
7925	"REVISTA DE NEUROLOGIA"	0210-0010	"Not Available"	0.830	0.757	0.001750
7925	"SOUTH AFRICAN JOURNAL OF GEOLOGY"	1012-0750	701	0.830	"Not Available"	0.000670
793	"Clinical Epigenetics"	1868-7083	431	4.543	"Not Available"	0.001900
7932	"Journal of Diversity in Higher Education"	1938-8926	143	0.829	0.927	0.000720
7932	"Technology Pedagogy and Education"	1475-939X	159	0.829	0.954	0.000530
7934	"Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences"	1936-2447	67	0.828	0.823	0.001000
7934	"JOURNAL OF EARLY INTERVENTION"	1053-8151	436	0.828	1.354	0.000670
7934	"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING"	0954-4070	"Not Available"	0.828	0.895	0.002580
7934	"Survey Methodology"	0714-0045	504	0.828	1.593	0.001750
7939	"ADVANCES IN NURSING SCIENCE"	0161-9268	993	0.827	1.191	0.000910
7939	"ANATOMICAL SCIENCE INTERNATIONAL"	1447-6959	370	0.827	0.888	0.000760
7939	"BIOLOGIA"	0006-3088	"Not Available"	0.827	0.741	0.002500
7939	"Discourse-Studies in the Cultural Politics of Education"	0159-6306	439	0.827	0.866	0.001590
7939	"ECONOMIC MODELLING"	0264-9993	"Not Available"	0.827	0.887	0.006080
7939	"IRISH JOURNAL OF MEDICAL SCIENCE"	0021-1265	848	0.827	0.666	0.001910
7939	"JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY"	0301-4800	"Not Available"	0.827	1.063	0.001500
794	"JOURNAL OF HAZARDOUS MATERIALS"	0304-3894	"Not Available"	4.529	5.277	0.128850
7947	"Accountability in Research-Policies and Quality Assurance"	0898-9621	173	0.826	0.835	0.000420
7947	"Behavioral Psychology-Psicologia Conductual"	1132-9483	250	0.826	0.739	0.000350
7947	"EUROPEAN JOURNAL OF CONTROL"	0947-3580	662	0.826	1.015	0.002020
7947	"JOURNAL OF CONTEMPORARY ETHNOGRAPHY"	0891-2416	596	0.826	1.067	0.001230
7947	"LANGUAGE SCIENCES"	0388-0001	497	0.826	0.640	0.001470
7947	"Symmetry-Basel"	2073-8994	222	0.826	1.192	0.001330
795	"AMERICAN JOURNAL OF PREVENTIVE MEDICINE"	0749-3797	"Not Available"	4.527	5.395	0.041770
7953	"TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY"	0277-2248	977	0.825	"Not Available"	0.001960
7954	"ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH"	0360-1293	217	0.824	0.745	0.000080
7954	"AFRICAN JOURNAL OF ECOLOGY"	0141-6707	"Not Available"	0.824	0.821	0.002090
7954	"Computer Supported Cooperative Work-The Journal of Collaborative Computing"	0925-9724	342	0.824	0.903	0.000550
7954	"CyTA-Journal of Food"	1947-6337	178	0.824	0.767	0.000640
7954	"INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS"	0020-7160	"Not Available"	0.824	0.699	0.004580
7954	"MATERIALE PLASTICE"	0025-5289	346	0.824	0.576	0.000440
796	"International Review of Sport and Exercise Psychology"	1750-984X	227	4.526	"Not Available"	0.000780
796	"JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA"	1083-3021	"Not Available"	4.526	6.077	0.004330
7960	"European Annals of Otorhinolaryngology-Head and Neck Diseases"	1879-7296	229	0.822	"Not Available"	0.001030
7960	"Journal of Dynamics and Differential Equations"	1040-7294	837	0.822	1.000	0.002710
7960	"PAKISTAN JOURNAL OF BOTANY"	0556-3321	"Not Available"	0.822	0.903	0.004330
7963	"HEALTH EDUCATION JOURNAL"	0017-8969	757	0.821	1.143	0.001530
7963	"IEEE Intelligent Transportation Systems Magazine"	1939-1390	84	0.821	1.014	0.000410
7963	"JOURNAL OF SHIP RESEARCH"	0022-4502	581	0.821	1.098	0.000820
7963	"NEW GENERATION COMPUTING"	0288-3635	232	0.821	0.925	0.000340
7963	"PHYSICS OF THE SOLID STATE"	1063-7834	"Not Available"	0.821	0.750	0.006980
7963	"STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING"	0039-2480	354	0.821	0.671	0.000950
7963	"World Rabbit Science"	1257-5011	392	0.821	0.901	0.000400
7970	"ADVANCES IN APPLIED MATHEMATICS"	0196-8858	"Not Available"	0.820	0.768	0.004410
7970	"ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS"	0020-3157	"Not Available"	0.820	0.805	0.002980
7970	"JOURNAL OF PHYTOPATHOLOGY"	0931-1785	"Not Available"	0.820	1.076	0.002930
7970	"JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES"	0024-6107	"Not Available"	0.820	0.925	0.009610
7974	"BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT"	0005-9366	742	0.819	0.847	0.001230
7974	"IT Professional"	1520-9202	293	0.819	"Not Available"	0.000830
7974	"JOURNAL OF MEDICAL PRIMATOLOGY"	0047-2565	789	0.819	1.074	0.001140
7974	"JOURNAL OF PRODUCTIVITY ANALYSIS"	0895-562X	"Not Available"	0.819	1.452	0.002240
7978	"AMERICAN SURGEON"	0003-1348	"Not Available"	0.818	1.105	0.009780
7978	"Applied Research in Quality of Life"	1871-2584	193	0.818	0.913	0.000550
7978	"Econometrics Journal"	1368-4221	601	0.818	1.488	0.004140
7978	"European Journal of Transport and Infrastructure Research"	1567-7133	247	0.818	1.144	0.000610
7978	"SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL"	0037-5497	911	0.818	0.813	0.001070
798	"JOURNAL OF INFORMATION TECHNOLOGY"	0268-3962	"Not Available"	4.525	5.348	0.003860
7984	"COMPUTERS & ELECTRICAL ENGINEERING"	0045-7906	840	0.817	0.965	0.002230
7984	"Electronic Journal of Qualitative Theory of Differential Equations"	1417-3875	494	0.817	0.838	0.001700
7984	"Environmental Communication-A Journal of Nature and Culture"	1752-4032	185	0.817	1.100	0.000640
7984	"International Journal of Numerical Analysis and Modeling"	1705-5105	375	0.817	1.008	0.002510
7984	"Pacific-Basin Finance Journal"	0927-538X	610	0.817	1.010	0.000920
7984	"TROPICAL ANIMAL HEALTH AND PRODUCTION"	0049-4747	"Not Available"	0.817	0.895	0.004880
7990	"AMERICAN JOURNAL OF COMPARATIVE LAW"	0002-919X	524	0.816	1.058	0.001260
7990	"Feminist Theory"	1464-7001	301	0.816	0.946	0.000740
7990	"VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE"	0195-5616	"Not Available"	0.816	1.561	0.002930
7993	"DISABILITY & SOCIETY"	0968-7599	"Not Available"	0.815	1.288	0.002090
7993	"INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS"	1383-5416	804	0.815	0.690	0.001290
7993	"JOURNAL OF NEUROSCIENCE NURSING"	0888-0395	585	0.815	1.095	0.001080
7993	"OSIRIS"	0369-7827	331	0.815	1.270	0.001100
7993	"Theoretical and Experimental Chemistry"	0040-5760	527	0.815	0.690	0.000570
8	"Annual Review of Immunology"	0732-0582	"Not Available"	39.327	46.694	0.045560
80	"NATURE NEUROSCIENCE"	1097-6256	"Not Available"	16.095	17.154	0.154920
800	"JOURNAL OF GASTROENTEROLOGY"	0944-1174	"Not Available"	4.523	4.215	0.013270
8000	"HEAT TRANSFER ENGINEERING"	0145-7632	"Not Available"	0.814	0.918	0.002350
8000	"INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT"	0965-075X	"Not Available"	0.814	1.199	0.001650
8002	"ACTA PHYSICA SINICA"	1000-3290	"Not Available"	0.813	0.684	0.008530
8002	"Mathematical Modelling of Natural Phenomena"	0973-5348	402	0.813	0.807	0.002320
8002	"STATISTICAL PAPERS"	0932-5026	595	0.813	0.957	0.002470
8005	"EUROPEAN JOURNAL OF APPLIED MATHEMATICS"	0956-7925	632	0.812	0.965	0.001550
8005	"INTERNATIONAL SOCIOLOGY"	0268-5809	570	0.812	1.160	0.001670
8007	"FLUCTUATION AND NOISE LETTERS"	0219-4775	328	0.811	0.766	0.000730
8007	"Journal of Substance Use"	1465-9891	366	0.811	0.825	0.000850
8007	"Physical Education and Sport Pedagogy"	1740-8989	422	0.811	"Not Available"	0.000880
801	"ANALYTICA CHIMICA ACTA"	0003-2670	"Not Available"	4.513	4.667	0.057340
801	"BIOCONJUGATE CHEMISTRY"	1043-1802	"Not Available"	4.513	4.676	0.025420
8010	"BRAZILIAN JOURNAL OF PHYSICS"	0103-9733	"Not Available"	0.810	0.736	0.001330
8010	"CLINICAL IMAGING"	0899-7071	"Not Available"	0.810	0.882	0.002630
8010	"ICHTHYOLOGICAL RESEARCH"	1341-8998	628	0.810	0.752	0.000880
8010	"REVISTA DE CHIMIE"	0034-7752	"Not Available"	0.810	0.621	0.001310
8010	"SCOTTISH JOURNAL OF GEOLOGY"	0036-9276	357	0.810	0.870	0.000220
8015	"Brain Impairment"	1443-9646	210	0.809	1.167	0.000560
8015	"JOURNAL OF URBAN PLANNING AND DEVELOPMENT"	0733-9488	514	0.809	1.138	0.000770
8015	"Journal of Macromolecular Science Part A-Pure and Applied Chemistry"	1060-1325	"Not Available"	0.809	0.837	0.001760
8015	"MUSICAE SCIENTIAE"	1029-8649	282	0.809	1.000	0.000620
8015	"SCIENTIA AGRICOLA"	0103-9016	"Not Available"	0.809	1.103	0.002360
8021	"Journal of Esthetic and Restorative Dentistry"	1496-4155	589	0.808	1.164	0.000900
8022	"ECOLOGY OF FOOD AND NUTRITION"	0367-0244	499	0.807	0.986	0.000530
8022	"JOURNAL OF POROUS MEDIA"	1091-028X	491	0.807	0.608	0.000910
8022	"Journal of Child Sexual Abuse"	1053-8712	488	0.807	1.112	0.000980
8025	"APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL"	1054-4887	497	0.806	0.684	0.001070
8025	"FORMAL ASPECTS OF COMPUTING"	0934-5043	347	0.806	0.886	0.001020
8025	"INSECT SYSTEMATICS & EVOLUTION"	1399-560X	276	0.806	0.759	0.000370
8025	"JOURNAL OF SOCIAL ARCHAEOLOGY"	1469-6053	216	0.806	1.085	0.000290
8025	"JOURNAL OF VECTOR BORNE DISEASES"	0972-9062	499	0.806	0.957	0.001000
8025	"MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY"	1385-0172	174	0.806	0.954	0.001060
8025	"Mires and Peat"	1819-754X	190	0.806	"Not Available"	0.000680
8025	"RESEARCH IN SCIENCE EDUCATION"	0157-244X	755	0.806	1.110	0.002150
8025	"STUDIA GEOPHYSICA ET GEODAETICA"	0039-3169	602	0.806	0.834	0.001140
803	"Molecular Therapy-Nucleic Acids"	2162-2531	600	4.512	4.528	0.002470
8034	"International Journal of Biomathematics"	1793-5245	205	0.805	0.703	0.000550
8034	"JOURNAL OF MARINE SCIENCE AND TECHNOLOGY"	0948-4280	403	0.805	1.031	0.001070
8034	"Journal of Minimal Access Surgery"	0972-9941	255	0.805	"Not Available"	0.000760
8034	"Journal of Personnel Psychology"	1866-5888	141	0.805	1.646	0.001000
8034	"Journal of Youth Studies"	1367-6261	784	0.805	1.140	0.001570
8034	"Mechanical Sciences"	2191-9151	71	0.805	0.917	0.000600
8034	"SALUD PUBLICA DE MEXICO"	0036-3634	"Not Available"	0.805	1.173	0.002860
8034	"STRATIGRAPHY AND GEOLOGICAL CORRELATION"	0869-5938	499	0.805	0.843	0.001070
8034	"ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE"	0948-6704	607	0.805	0.900	0.001050
804	"International Journal of Biological Sciences"	1449-2288	"Not Available"	4.509	4.195	0.009350
8044	"ARID LAND RESEARCH AND MANAGEMENT"	1532-4982	321	0.804	0.754	0.000380
8044	"IET Intelligent Transport Systems"	1751-956X	313	0.804	1.109	0.001060
8044	"JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME"	0742-4795	"Not Available"	0.804	0.927	0.005650
8044	"Journal of Food and Nutrition Research"	1336-8672	180	0.804	0.721	0.000350
8044	"Problemy Ekorozwoju"	1895-6912	66	0.804	0.480	0.000280
8049	"APPLICABLE ANALYSIS"	0003-6811	"Not Available"	0.803	0.862	0.005680
8049	"JOURNAL OF ENGINEERING MATHEMATICS"	0022-0833	"Not Available"	0.803	1.051	0.002870
8049	"KAOHSIUNG JOURNAL OF MEDICAL SCIENCES"	1607-551X	841	0.803	0.815	0.001740
8049	"LAKE AND RESERVOIR MANAGEMENT"	1040-2381	606	0.803	1.153	0.000750
8049	"POPULATION RESEARCH AND POLICY REVIEW"	0167-5923	707	0.803	1.010	0.001630
805	"MOLECULAR MEDICINE"	1076-1551	"Not Available"	4.508	4.844	0.011380
8054	"ACTA NEUROPSYCHIATRICA"	1601-5215	367	0.802	0.667	0.000880
8054	"CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY"	0352-9568	512	0.802	0.863	0.000820
8054	"DISCRETE APPLIED MATHEMATICS"	0166-218X	"Not Available"	0.802	0.862	0.013830
8054	"Health Care for Women International"	0739-9332	"Not Available"	0.802	0.932	0.001370
8054	"INDIAN JOURNAL OF CANCER"	0019-509X	586	0.802	"Not Available"	0.001210
8054	"JOURNAL OF POULTRY SCIENCE"	1346-7395	437	0.802	0.810	0.000850
8054	"Neotropical Ichthyology"	1679-6225	915	0.802	1.216	0.002190
806	"Cell Adhesion & Migration"	1933-6918	"Not Available"	4.505	3.515	0.006460
8061	"THEORETICAL AND MATHEMATICAL PHYSICS"	0040-5779	"Not Available"	0.801	0.696	0.004030
8062	"FEMINISM & PSYCHOLOGY"	0959-3535	510	0.800	0.920	0.001000
8062	"HERPETOZOA"	1013-4425	175	0.800	"Not Available"	0.000190
8062	"International Journal of Central Banking"	1815-4654	407	0.800	1.311	0.002960
8062	"JOURNAL OF MICROPALAEONTOLOGY"	0262-821X	301	0.800	0.985	0.000350
8062	"Journal of Correctional Health Care"	1078-3458	191	0.800	"Not Available"	0.000650
8062	"Journal of Investigative Psychology and Offender Profiling"	1544-4759	168	0.800	1.134	0.000570
8062	"NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH"	0028-8330	"Not Available"	0.800	1.042	0.001260
8062	"REVISTA ARGENTINA DE MICROBIOLOGIA"	0325-7541	371	0.800	0.864	0.000700
807	"ELECTROCHIMICA ACTA"	0013-4686	"Not Available"	4.504	4.578	0.104420
807	"JOURNAL OF ANIMAL ECOLOGY"	0021-8790	"Not Available"	4.504	5.316	0.022510
8070	"CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE"	0251-0790	"Not Available"	0.799	0.530	0.002210
8070	"NEUROENDOCRINOLOGY LETTERS"	0172-780X	"Not Available"	0.799	1.004	0.002910
8072	"International Journal of Performance Analysis in Sport"	1474-8185	478	0.798	"Not Available"	0.000490
8072	"Revista de Cercetare si Interventie Sociala"	1583-3410	139	0.798	0.642	0.000160
8072	"UNIVERSITY OF ILLINOIS LAW REVIEW"	0276-9948	635	0.798	0.838	0.001400
8075	"BULLETIN OF THE KOREAN CHEMICAL SOCIETY"	0253-2964	"Not Available"	0.797	0.818	0.009610
8075	"CAHIERS DE BIOLOGIE MARINE"	0007-9723	767	0.797	0.748	0.000970
8075	"JOURNAL OF TRANSPORTATION ENGINEERING"	0733-947X	"Not Available"	0.797	1.028	0.003820
8075	"JOURNALISM & MASS COMMUNICATION QUARTERLY"	1077-6990	"Not Available"	0.797	1.244	0.001680
8075	"Journal on Multimodal User Interfaces"	1783-7677	105	0.797	0.937	0.000400
8075	"NURSING ECONOMICS"	0746-1739	595	0.797	1.217	0.001230
8075	"Revista Espanola de Quimioterapia"	0214-3429	244	0.797	0.825	0.000630
8075	"WASHINGTON LAW REVIEW"	0043-0617	329	0.797	0.850	0.000680
8084	"Analysis and Applications"	0219-5305	274	0.796	1.104	0.001750
8084	"Forest Systems"	2171-5068	231	0.796	1.005	0.000920
8084	"JOURNAL OF THE AMERICAN HELICOPTER SOCIETY"	0002-8711	615	0.796	0.821	0.001130
8084	"JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES"	1678-9199	355	0.796	0.668	0.000600
8084	"Journal of Network and Systems Management"	1064-7570	187	0.796	0.728	0.000640
8084	"Kyoto Journal of Mathematics"	2156-2261	101	0.796	0.826	0.002130
8084	"STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT"	0165-0521	514	0.796	0.709	0.000440
809	"ENDOCRINOLOGY"	0013-7227	"Not Available"	4.503	4.622	0.060620
8091	"ESA BULLETIN-EUROPEAN SPACE AGENCY"	0376-4265	508	0.795	0.716	0.000640
8091	"JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY"	0193-2691	"Not Available"	0.795	0.824	0.002820
8091	"MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS"	0932-4194	507	0.795	0.811	0.000850
8091	"Social Influence"	1553-4510	244	0.795	0.980	0.000690
8091	"Vascular"	1708-5381	480	0.795	0.830	0.001350
8096	"SMALL GROUP RESEARCH"	1046-4964	"Not Available"	0.794	1.612	0.001760
8097	"Materials Research-Ibero-american Journal of Materials"	1516-1439	"Not Available"	0.793	0.952	0.001960
8097	"PHOTONIC NETWORK COMMUNICATIONS"	1387-974X	219	0.793	0.419	0.000700
8097	"RUSSIAN JOURNAL OF NEMATOLOGY"	0869-6918	187	0.793	0.756	0.000250
81	"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS"	1389-5567	"Not Available"	16.091	14.824	0.004270
810	"BIORESOURCE TECHNOLOGY"	0960-8524	"Not Available"	4.494	5.330	0.126450
810	"Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology"	1939-5116	"Not Available"	4.494	5.178	0.004750
8100	"AFRICAN JOURNAL OF HERPETOLOGY"	2156-4574	121	0.792	0.612	0.000230
8100	"Carpathian Journal of Mathematics"	1584-2851	214	0.792	0.901	0.000620
8100	"JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING"	0733-950X	"Not Available"	0.792	1.040	0.001460
8100	"Journal of Analytical Methods in Chemistry"	2090-8865	121	0.792	0.808	0.000350
8100	"SOIL SCIENCE"	0038-075X	"Not Available"	0.792	1.289	0.002540
8105	"ALGORITHMICA"	0178-4617	"Not Available"	0.791	0.805	0.005580
8105	"ECONOMIC AND INDUSTRIAL DEMOCRACY"	0143-831X	376	0.791	1.193	0.001210
8105	"ITALIAN JOURNAL OF ZOOLOGY"	1125-0003	760	0.791	0.763	0.001100
8105	"International Journal of Minerals Metallurgy and Materials"	1674-4799	605	0.791	0.827	0.002200
8105	"JOURNAL OF SHELLFISH RESEARCH"	0730-8000	"Not Available"	0.791	0.987	0.002550
8105	"Journal of Cancer Research and Therapeutics"	0973-1482	737	0.791	0.957	0.002270
8105	"Journal of Topology"	1753-8416	225	0.791	0.982	0.005020
8105	"Journal of the Society for Information Display"	1071-0922	928	0.791	0.825	0.002420
8105	"SOCIAL SCIENCE QUARTERLY"	0038-4941	"Not Available"	0.791	1.545	0.005830
8114	"AJAR-African Journal of AIDS Research"	1608-5906	307	0.790	0.897	0.000870
8114	"EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION"	0256-2928	701	0.790	0.894	0.001250
8114	"JOURNAL OF APPLIED SOCIAL PSYCHOLOGY"	0021-9029	"Not Available"	0.790	1.049	0.005780
8114	"JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT"	0143-4632	414	0.790	0.742	0.001090
8119	"Asia-Pacific Journal of Chemical Engineering"	1932-2135	542	0.789	0.735	0.001490
8119	"BIOLOGY OF SPORT"	0860-021X	279	0.789	0.605	0.000390
8119	"COLLOID JOURNAL"	1061-933X	"Not Available"	0.789	0.785	0.001400
8119	"COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS"	0965-5425	"Not Available"	0.789	0.509	0.002680
8119	"Cardiovascular Journal of Africa"	1995-1892	370	0.789	0.776	0.001270
8119	"Economics & Politics"	0954-1985	553	0.789	0.911	0.001160
8119	"Human Ecology Review"	1074-4827	345	0.789	1.300	0.000550
8119	"ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES"	0333-7308	485	0.789	1.067	0.000860
8119	"Mind Culture and Activity"	1074-9039	346	0.789	0.830	0.000450
8119	"ORGANIZATIONAL DYNAMICS"	0090-2616	"Not Available"	0.789	0.841	0.000900
8119	"PS-POLITICAL SCIENCE & POLITICS"	1049-0965	"Not Available"	0.789	0.949	0.004550
8119	"Progress in Development Studies"	1464-9934	298	0.789	1.118	0.000720
8119	"ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES"	0932-0784	"Not Available"	0.789	0.723	0.001620
812	"PHYSICAL CHEMISTRY CHEMICAL PHYSICS"	1463-9076	"Not Available"	4.493	4.219	0.179370
812	"THYROID"	1050-7256	"Not Available"	4.493	5.282	0.020110
8133	"Geografisk Tidsskrift-Danish Journal of Geography"	0016-7223	202	0.788	0.890	0.000300
8133	"MEDICAL ANTHROPOLOGY QUARTERLY"	0745-5194	780	0.788	1.328	0.001150
8133	"Pigment & Resin Technology"	0369-9420	339	0.788	0.711	0.000340
8133	"WASHINGTON QUARTERLY"	0163-660X	365	0.788	0.774	0.002080
8137	"COMPUTER JOURNAL"	0010-4620	"Not Available"	0.787	0.962	0.003410
8137	"HEMOGLOBIN"	0363-0269	844	0.787	1.061	0.001580
8137	"ISRAEL JOURNAL OF MATHEMATICS"	0021-2172	"Not Available"	0.787	0.796	0.013290
8137	"JOURNAL OF ESSENTIAL OIL RESEARCH"	1041-2905	"Not Available"	0.787	0.659	0.001220
8137	"JOURNAL OF HETEROCYCLIC CHEMISTRY"	0022-152X	"Not Available"	0.787	1.094	0.003730
8137	"Journal of Emergency Nursing"	0099-1767	756	0.787	0.804	0.001210
8137	"NERVENARZT"	0028-2804	"Not Available"	0.787	0.607	0.001530
